method,city,cluster,listing_id,price,latitude,longitude,accommodates,minimum_nights,maximum_nights,number_of_reviews,availability_365,reviews_total,reviews_last_365d,calendar_avg_price,calendar_median_price,calendar_availability_rate,calendar_days_sampled,log_price,price_per_person,amenities_count,review_density,reviews_per_month,demand_score,listing_count,neighbourhood
kmeans,neworleans,2,5.2142331389385626e+17,136.7190635451505,29.959093278155535,-90.07473739020259,4.0062111801242235,21.510272336359293,456.53081700907785,38.2943143812709,64.56187290969899,38.2943143812709,7.3478260869565215,136.281414237936,136.281414237936,0.1773482083134257,365.0,4.829701202969691,40.45282521335436,34.433827042522694,1.0827629275626902,0.6123188405797101,0.2598403885628601,2093,
kmeans,neworleans,3,8.262750736635766e+17,109.42833539859562,29.95933700433658,-90.0715814834119,4.336637752994631,18.392399834779017,431.18793886823624,27.66749277158199,311.3952912019827,27.66749277158199,7.657992565055762,109.7786038826931,109.7786038826931,0.8531385790995456,365.0,4.595574720645966,30.534025035155764,34.05741429161503,0.09403551629927392,0.6381660470879802,0.055513243722985425,2421,
dbscan,neworleans,-1,6.039791969158086e+17,262.456384323641,29.97941099849336,-90.0557056329363,5.695322376738306,24.441213653603032,461.7812895069532,37.35651074589128,226.24652338811632,37.35651074589128,5.431099873577749,262.8457648546144,262.8457648546144,0.6198542351453856,365.0,5.134050329653144,49.73737107638814,36.68141592920354,0.26681454828159,0.4525916561314791,0.12505754812884126,791,
dbscan,neworleans,0,6.002515691408192e+17,166.69423676012462,29.955058335521414,-90.07524654032157,4.994859813084112,15.993925233644859,434.88006230529595,70.9006230529595,215.57040498442367,70.9006230529595,12.684267912772585,166.2811526479751,166.2811526479751,0.5907563395638629,365.0,4.937863550123341,38.22821886576559,39.96635514018691,0.6802266074931091,1.057022326064382,0.14587745518805856,6420,
dbscan,neworleans,1,1.803155762002778e+17,42.25,29.9428817125,-90.1264069125,1.875,24.5625,970.9375,48.8125,329.3125,48.8125,5.0625,42.25,42.25,0.9022375,365.0,3.7154700188616943,25.744791666666668,17.0,0.16064860975106324,0.42187499999999994,0.04187826534332673,16,
dbscan,neworleans,2,4.546736871869403e+17,76.65,30.018880673240638,-90.06272744883867,3.05,24.35,375.05,70.6,246.9,70.6,10.15,83.45,83.45,0.67644,365.0,4.331724472230321,30.35,42.2,0.4050589793676593,0.8458333333333332,0.11777945941298196,20,
dbscan,neworleans,3,8.501477074333108e+17,977.8,29.963613308059678,-90.05838268523466,8.7,15.5,864.5,17.5,265.5,17.5,5.8,977.8,977.8,0.7274,365.0,6.875626317712639,186.0497619047619,24.9,0.0733940690748147,0.4833333333333333,0.08989330391948082,10,
dbscan,neworleans,4,6.528999834380535e+17,205.92307692307693,30.09377378559855,-89.81946713271758,6.0,13.0,523.6153846153846,43.30769230769231,201.84615384615384,43.30769230769231,11.76923076923077,199.15384615384616,199.15384615384616,0.553,365.0,5.306537588401403,37.339743589743584,57.61538461538461,0.2993575329394924,0.9807692307692307,0.1518312922335453,13,
dbscan,neworleans,5,1.1770863284494008e+18,31.6,29.956471372527858,-90.10762992929259,1.8666666666666667,26.133333333333333,454.0,7.266666666666667,283.6666666666667,7.266666666666667,6.666666666666667,31.6,31.6,0.7771733333333334,365.0,3.362252551091734,20.738888888888887,21.866666666666667,0.053650363950335164,0.5555555555555555,0.07408031731307495,15,
gmm,neworleans,0,8.836175027535859e+17,167.71505376344086,29.959380420452142,-90.07252224880985,4.581541218637993,22.796594982078854,417.55913978494624,1.6111111111111112,124.82706093189964,1.6111111111111112,0.931899641577061,170.1021505376344,170.1021505376344,0.34235197132616485,365.0,4.884622310376093,42.910403277775586,32.67831541218638,0.02573967735458164,0.07765830346475507,0.19851021459375234,1116,
gmm,neworleans,1,1.139272388454167e+18,193.38364779874215,29.957959892585006,-90.07006825993935,5.359748427672956,24.333333333333332,389.08553459119497,0.0,329.0490566037736,0.0,0.0,193.47169811320754,193.47169811320754,0.9015064150943396,365.0,4.976228343468941,42.433813955087544,29.530817610062893,0.0,0.0,0.029548720599638114,795,
