listing_id,reviews_total,reviews_last_365d
25802231,260,26
25808833,118,18
25861262,298,45
25894475,286,10
25895701,136,38
25920781,147,18
25940510,419,38
25944899,64,8
25969163,16,16
25969271,21,21
25984142,216,22
26029969,132,25
26034464,363,44
26039928,140,52
26111681,129,13
26133988,22,6
26138093,61,8
26198663,80,0
26199959,31,1
26234572,123,12
26253486,110,24
26296254,14,0
26337715,144,3
26402837,27,0
26428768,230,9
26476402,252,40
26500795,242,25
26579870,105,18
26638174,207,30
26638729,193,17
26700761,119,19
26713916,222,15
26776933,20,4
26783351,56,8
26785909,72,1
26843049,20,1
26860512,1,0
26877934,37,1
26940306,140,28
26959321,10,0
26961273,28,3
26991799,174,4
27100328,190,23
27101218,27,4
27106400,560,72
27168613,111,0
27169700,118,27
27226695,56,5
27228203,10,0
27230321,195,26
27247279,135,4
27260309,113,31
27279571,64,9
27280746,229,51
27282179,379,58
27308270,101,13
27333611,147,28
27339033,113,9
27408745,49,33
27420170,221,27
27439525,230,19
27466584,192,21
27490933,102,21
27553317,271,18
27553507,170,10
27553988,88,15
27583390,104,11
27584436,19,12
27584585,234,26
27624908,34,4
27638781,152,16
27639463,395,83
27732324,37,0
27732402,13,1
27783440,143,18
27785167,373,41
27804909,1,0
27814729,11,0
27830773,42,0
27853037,14,0
27872315,224,32
27890313,3,0
28052689,20,3
28132761,216,22
28133387,23,7
28152683,104,6
28260301,154,0
28281379,54,11
28283064,216,32
28287649,55,0
28300542,83,1
28303715,33,2
28340486,2,0
28359732,169,27
28361473,85,9
28362943,28,1
28402457,10,0
28405971,282,20
28444302,422,63
28459886,99,11
28510810,5,0
28510957,79,22
28511244,5,0
28511296,4,0
28511402,28,1
28511620,13,1
28511708,52,5
28511827,6,0
28511937,28,0
28522014,188,18
28558169,136,0
28612926,219,20
28615266,35,2
28615463,182,4
28714602,16,2
28777485,196,44
28803574,403,60
28811137,303,28
28842296,157,26
28864302,19,2
28909247,9,0
28913455,476,52
28927616,159,22
28948015,14,1
28948832,18,3
28982045,391,61
28991510,39,3
29050721,18,3
29051115,8,0
29051465,21,0
29053143,329,48
29103060,229,44
29120761,322,53
29129510,83,25
29157741,13,0
29191606,181,14
29209840,10,2
29283596,169,10
29308967,10,0
29371285,295,40
29391145,354,40
29392758,713,84
29413045,118,21
29417300,112,21
29481624,418,75
29509800,270,49
29516823,25,0
29545196,547,64
29606788,165,31
29630511,236,42
29658545,153,3
29662041,183,36
29662221,24,3
29702099,130,35
29704782,134,17
29704960,146,14
29707921,81,8
29775439,68,12
29784793,10,2
29800563,296,47
29818213,5,0
29851934,47,0
29877084,308,45
29880162,27,0
29880855,50,9
29885798,301,68
29898010,11,2
29927726,14,3
29941738,95,13
29942397,79,11
29950782,191,15
29964527,127,22
30010719,211,0
30023762,265,30
30067181,9,2
30089490,234,20
30175919,138,39
30204360,439,54
30268784,345,66
30316138,172,16
30345320,8,8
30350238,131,15
30365762,164,25
30492373,237,44
30536360,171,0
30539151,255,20
30553860,2,0
30584824,338,42
30685450,83,10
30687839,415,58
30719085,20,7
30735784,161,18
30746416,188,17
30755675,201,21
30755892,202,13
30771810,186,2
30774781,3,0
30815437,68,7
30817507,33,9
30817817,42,23
30817981,40,5
30818719,121,25
30818831,262,83
30819025,195,38
30820481,111,11
30843280,205,4
30894435,48,0
30909493,172,7
30959359,54,14
30976034,193,17
30984315,12,6
30998638,20,3
31001222,224,37
31055263,67,5
