listing_id,reviews_total,reviews_last_365d
1336223,38,0
1336230,43,2
1342443,4,4
1354250,3,0
1354973,171,22
1355654,23,0
1357021,95,0
1359130,9,1
1361017,35,1
1370405,387,0
1380326,144,1
1382607,2,0
1392079,166,0
1392144,31,0
1396458,44,0
1398234,2,0
1398326,2,0
1403635,3,0
1404828,188,0
1407633,2,0
1408406,10,0
1411811,347,40
1421933,4,0
1437044,3,0
1438870,70,2
1440363,278,2
1444400,475,0
1449263,1,0
1457505,80,0
1458987,86,0
1461965,114,3
1467106,270,0
1467618,15,0
1474752,27,0
1475427,7,0
1476238,6,0
1479283,52,1
1480002,1,0
1491991,13,0
1499635,6,0
1506985,64,1
1511303,176,23
1513777,4,0
1521335,2,0
1524017,66,0
1530386,89,0
1533652,111,4
1534212,96,2
1549413,180,0
1551044,118,0
1555491,4,0
1559912,9,0
1566326,47,0
1578103,80,0
1581579,493,6
1591811,240,0
1596314,27,0
1604489,3,0
1617443,37,0
1617488,84,0
1621235,9,0
1623431,1,0
1628156,267,20
1635088,13,0
1640995,70,4
1645181,224,47
1645667,380,30
1646910,1,0
1649957,28,0
1654551,20,0
1654929,256,0
1655550,12,2
1656585,59,6
1656621,469,56
1668328,227,0
1669149,90,0
1670517,6,0
1672977,29,2
1673040,19,0
1688914,136,0
1693028,23,0
1696381,46,0
1702533,68,0
1702781,21,1
1704560,227,0
1707850,1,0
1716640,26,0
1717058,83,0
1717226,18,0
1722101,24,0
1724731,1,0
1725295,144,0
1727923,6,0
1728625,18,0
1729286,35,0
1730937,73,1
1731245,108,0
1731365,171,1
1734724,182,0
1739847,54,0
1742654,127,0
1744709,3,0
1745358,33,0
1753671,55,1
1754876,24,0
1755844,12,0
1758391,111,0
1759154,203,0
1759526,11,0
1762852,3,0
1763209,106,0
1766846,485,32
1776732,223,2
1778810,1,0
1780748,38,0
1781052,1,0
1782667,158,0
1788989,10,0
1793091,312,4
1793104,2,0
1793411,3,0
1797025,173,0
1798500,37,0
1801130,15,0
1813681,1,0
1817510,376,0
1820858,8,0
1825949,32,0
1826701,10,0
1831227,42,0
1832120,146,0
1835367,16,0
1846580,218,0
1855846,35,0
1856027,134,3
1856803,10,0
1864061,46,0
1865336,257,0
1870228,105,0
